"kappa","alpha_t","Fidelity"
20.,2.7,0.8700188339323098
20.,2.71,0.8699716546539142
20.,2.72,0.869925139389016
20.,2.73,0.8698792787921155
20.,2.74,0.8698340636492443
20.,2.75,0.8697894848761136
20.,2.7600000000000002,0.8697455335162894
20.,2.77,0.8697022007393926
20.,2.7800000000000002,0.8696594778393257
20.,2.79,0.8696173562325227
20.,2.8000000000000003,0.8695758274562249
20.,2.81,0.8695348831667808
20.,2.82,0.8694945151379696
20.,2.83,0.8694547152593486
20.,2.84,0.8694154755346236
20.,2.85,0.869376788080042
20.,2.86,0.8693386451228098
20.,2.87,0.8693010389995286
20.,2.88,0.8692639621546572
20.,2.89,0.8692274071389929
20.,2.9,0.869191366608175
20.,2.91,0.869155833321209
20.,2.92,0.8691208001390129
20.,2.93,0.8690862600229812
20.,2.94,0.8690522060335715
20.,2.95,0.869018631328911
20.,2.96,0.8689855291634209
20.,2.97,0.8689528928864609
20.,2.98,0.8689207159409948
20.,2.99,0.8688889918622704
20.,3.,0.868857714276523
20.,3.0100000000000002,0.8688268768996938
20.,3.02,0.8687964735361675
20.,3.0300000000000002,0.8687664980775273
20.,3.04,0.8687369445013278
20.,3.0500000000000003,0.8687078068698856
20.,3.06,0.8686790793290853
20.,3.0700000000000003,0.8686507561072037
20.,3.08,0.8686228315137512
20.,3.09,0.8685952999383265
20.,3.1,0.8685681558494918
20.,3.11,0.8685413937936588
20.,3.12,0.8685150083939958
20.,3.13,0.868488994349345
20.,3.14,0.868463346433159
20.,3.15,0.8684380594924501
20.,3.16,0.8684131284467553
20.,3.17,0.8683885482871146
20.,3.18,0.8683643140750665
20.,3.19,0.8683404209416538
20.,3.2,0.8683168640864467
20.,3.21,0.8682936387765778
20.,3.22,0.8682707403457914
20.,3.23,0.868248164193506
20.,3.24,0.8682259057838895
20.,3.25,0.8682039606449484
20.,3.2600000000000002,0.8681823243676297
20.,3.27,0.8681609926049338
20.,3.2800000000000002,0.8681399610710427
20.,3.29,0.8681192255404574
20.,3.3000000000000003,0.86809878184715
20.,3.31,0.8680786258837265
20.,3.3200000000000003,0.8680587536006013
20.,3.33,0.8680391610051837
20.,3.34,0.8680198441610758
20.,3.35,0.8680007991872813
20.,3.36,0.8679820222574268
20.,3.37,0.8679635095989916
20.,3.38,0.8679452574925506
20.,3.39,0.867927262271027
20.,3.4,0.8679095203189553
20.,3.41,0.8678920280717551
20.,3.42,0.8678747820150146
20.,3.43,0.867857778683785
20.,3.44,0.867841014661884
20.,3.45,0.8678244865812097
20.,3.46,0.8678081911210633
20.,3.47,0.867792125007483
